t_row_id,t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
1,2022-03-25,202203,126638495,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,5,99765245,97.88333,118,L.D WATER & FOOD BEVERAGE-NEPAL,AQUA KAMALAMAI YATRI,AQUA KAMALAMAI YATRI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
1,2022-03-25,202203,126638495,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,6,99765109,121.38487,118,LS WATER & BEVERAGE-NEPAL ,PRAN,PRAN POWER,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
1,2022-03-25,202203,126638495,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,7,99765381,121.656204,118,HIMALAYAN WATER BEVERAGE-NEPAL,NAMASTE HIMALAYAN,NAMASTE HIMALAYAN,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
1,2022-03-25,202203,126638495,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,8,40124190,124.70334,118,QUALITY WATER & BEVERAGE-NEPAL,H2OONE,H2OONE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
1,2022-03-25,202203,126638495,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,9,40123685,125.796455,118,MUKTESHWORI BEVERAGE-NEPAL,AQUA H2O,AQUA H2O,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
1,2022-03-25,202203,126638495,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,10,99762354,126.48442,118,SMB DRINKING WATER & BEVERAGE-NEPAL,DEUKHURI,DEUKHURI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,1,99763433,29.015793,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER,IMJA WATER,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,2,99765426,54.341118,118,LS WATER & BEVERAGE-NEPAL ,IMJA SODA,IMJA SODA,SODA PET 250 ML,PET,250.000 ML,SODA,,250.0,ML,40.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,3,99765064,56.37871,118,LS WATER & BEVERAGE-NEPAL ,IMJA SODA,IMJA SODA,SODA PET 500 ML,PET,500.000 ML,SODA,,500.0,ML,70.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,4,99765175,77.948746,118,LS WATER & BEVERAGE-NEPAL ,IMJA,IMJA LITCHI,LITCHI PET 150 ML,PET,150.000 ML,LYCHEE,,150.0,ML,20.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,5,99765245,97.88333,118,L.D WATER & FOOD BEVERAGE-NEPAL,AQUA KAMALAMAI YATRI,AQUA KAMALAMAI YATRI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,6,99765109,121.38487,118,LS WATER & BEVERAGE-NEPAL ,PRAN,PRAN POWER,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,7,99765381,121.656204,118,HIMALAYAN WATER BEVERAGE-NEPAL,NAMASTE HIMALAYAN,NAMASTE HIMALAYAN,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,8,40124190,124.70334,118,QUALITY WATER & BEVERAGE-NEPAL,H2OONE,H2OONE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,9,40123685,125.796455,118,MUKTESHWORI BEVERAGE-NEPAL,AQUA H2O,AQUA H2O,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2,2022-03-25,202203,124689791,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,10,99762354,126.48442,118,SMB DRINKING WATER & BEVERAGE-NEPAL,DEUKHURI,DEUKHURI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,1,99763433,29.015793,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER,IMJA WATER,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,2,99765426,54.341118,118,LS WATER & BEVERAGE-NEPAL ,IMJA SODA,IMJA SODA,SODA PET 250 ML,PET,250.000 ML,SODA,,250.0,ML,40.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,3,99765064,56.37871,118,LS WATER & BEVERAGE-NEPAL ,IMJA SODA,IMJA SODA,SODA PET 500 ML,PET,500.000 ML,SODA,,500.0,ML,70.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,4,99765175,77.948746,118,LS WATER & BEVERAGE-NEPAL ,IMJA,IMJA LITCHI,LITCHI PET 150 ML,PET,150.000 ML,LYCHEE,,150.0,ML,20.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,5,99765245,97.88333,118,L.D WATER & FOOD BEVERAGE-NEPAL,AQUA KAMALAMAI YATRI,AQUA KAMALAMAI YATRI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,6,99765109,121.38487,118,LS WATER & BEVERAGE-NEPAL ,PRAN,PRAN POWER,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,7,99765381,121.656204,118,HIMALAYAN WATER BEVERAGE-NEPAL,NAMASTE HIMALAYAN,NAMASTE HIMALAYAN,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,8,40124190,124.70334,118,QUALITY WATER & BEVERAGE-NEPAL,H2OONE,H2OONE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,9,40123685,125.796455,118,MUKTESHWORI BEVERAGE-NEPAL,AQUA H2O,AQUA H2O,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
3,2022-03-25,202203,124331162,1648102816350,99763433,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,10,99762354,126.48442,118,SMB DRINKING WATER & BEVERAGE-NEPAL,DEUKHURI,DEUKHURI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
4,2022-03-26,202203,1220102347,1648136346655,99763451,125,B.P NEPAL,B.P,B.P ,20,PPH,25G,,1648136346655-b-p nepal-b-p.png,RECODING,5,1,99763451,91.16095,125,B.P. NEPAL-NEPAL,B.P.,B.P.,25G KHAINI,PLAST,25G,REGULAR,,25.0,GM,20.0
4,2022-03-26,202203,1220102347,1648136346655,99763451,125,B.P NEPAL,B.P,B.P ,20,PPH,25G,,1648136346655-b-p nepal-b-p.png,RECODING,5,2,99762233,175.80624,125,PUJA SURTI UDHYOG,NEPAL SUPER POWER,NEPAL SUPER POWER,9.5G KHAINI,PLAST,9.5G,REGULAR,,9.5,,0.0
4,2022-03-26,202203,1220102347,1648136346655,99763451,125,B.P NEPAL,B.P,B.P ,20,PPH,25G,,1648136346655-b-p nepal-b-p.png,RECODING,5,3,99764259,198.02612,125,PUJA TOBACCO PACKING INDUSTRIES,GOLDEN NEPAL,GOLDEN NEPAL,12G KHAINI,PLAST,12G,REGULAR,,12.0,GM,30.0
4,2022-03-26,202203,1220102347,1648136346655,99763451,125,B.P NEPAL,B.P,B.P ,20,PPH,25G,,1648136346655-b-p nepal-b-p.png,RECODING,5,4,99765184,203.18826,125,PUJA TOBACCO PACKING INDUSTRIES,GOLDEN NEPAL,GOLDEN NEPAL,16G KHAINI,PLAST,16G,REGULAR,,16.0,GM,40.0
4,2022-03-26,202203,1220102347,1648136346655,99763451,125,B.P NEPAL,B.P,B.P ,20,PPH,25G,,1648136346655-b-p nepal-b-p.png,RECODING,5,5,99762229,207.98895,125,PUJA TOBACCO PACKING INDUSTRIES,GOLDEN NEPAL,GOLDEN NEPAL,17G KHAINI,PLAST,17G,REGULAR,,17.0,,0.0
4,2022-03-26,202203,1220102347,1648136346655,99763451,125,B.P NEPAL,B.P,B.P ,20,PPH,25G,,1648136346655-b-p nepal-b-p.png,RECODING,5,6,99764912,212.70316,125,ABINAV SURTI UDHYOG NEPAL,CHAKKA SUPER POWER,CHAKKA SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,25.0
