t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-08-22,202208,1220102374,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,2,99762224,69.89971160888672,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2G GUTKA,PLAST,2G,REGULAR,,2.0,,0.0
2022-08-22,202208,1220102374,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,3,99762263,78.95780944824219,124,SHREE RAM TOBACCO UDHYOG,BOLA GOLD,BOLA GOLD,2.3G GUTKA,PLAST,2.3G,REGULAR,,2.3,,0.0
2022-08-22,202208,1220102368,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,1,99764040,56.40604782104492,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2.14G GUTKA,PLAST,2.14G,REGULAR,,2.14,GM,7.0
2022-08-22,202208,1220102368,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,2,99762224,69.89971160888672,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2G GUTKA,PLAST,2G,REGULAR,,2.0,,0.0
2022-08-22,202208,1220102368,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,3,99762263,78.95780944824219,124,SHREE RAM TOBACCO UDHYOG,BOLA GOLD,BOLA GOLD,2.3G GUTKA,PLAST,2.3G,REGULAR,,2.3,,0.0
2022-08-22,202208,1220100037,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,1,99764040,56.40604782104492,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2.14G GUTKA,PLAST,2.14G,REGULAR,,2.14,GM,7.0
2022-08-22,202208,1220100037,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,2,99762224,69.89971160888672,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2G GUTKA,PLAST,2G,REGULAR,,2.0,,0.0
2022-08-22,202208,1220100037,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,3,99762263,78.95780944824219,124,SHREE RAM TOBACCO UDHYOG,BOLA GOLD,BOLA GOLD,2.3G GUTKA,PLAST,2.3G,REGULAR,,2.3,,0.0
2022-08-22,202208,1220100030,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,1,99764040,56.40604782104492,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2.14G GUTKA,PLAST,2.14G,REGULAR,,2.14,GM,7.0
2022-08-22,202208,1220100030,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,2,99762224,69.89971160888672,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2G GUTKA,PLAST,2G,REGULAR,,2.0,,0.0
2022-08-22,202208,1220100030,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,3,99762263,78.95780944824219,124,SHREE RAM TOBACCO UDHYOG,BOLA GOLD,BOLA GOLD,2.3G GUTKA,PLAST,2.3G,REGULAR,,2.3,,0.0
2022-08-22,202208,1220100033,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,1,99764040,56.40604782104492,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2.14G GUTKA,PLAST,2.14G,REGULAR,,2.14,GM,7.0
2022-08-22,202208,1220100033,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,2,99762224,69.89971160888672,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2G GUTKA,PLAST,2G,REGULAR,,2.0,,0.0
2022-08-22,202208,1220100033,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,3,99762263,78.95780944824219,124,SHREE RAM TOBACCO UDHYOG,BOLA GOLD,BOLA GOLD,2.3G GUTKA,PLAST,2.3G,REGULAR,,2.3,,0.0
2022-08-22,202208,1220100032,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,1,99764040,56.40604782104492,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2.14G GUTKA,PLAST,2.14G,REGULAR,,2.14,GM,7.0
2022-08-22,202208,1220100032,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,2,99762224,69.89971160888672,124,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA GOLD,2G GUTKA,PLAST,2G,REGULAR,,2.0,,0.0
2022-08-22,202208,1220100032,1660737150983,99764040,124,SHREE RAM TOBACCO UDHYOG PVT LTD NEPAL,BHOLA GOLD,BHOLA GOLD GUTKHA,7,PPH,2.14G,,1660737150983-shree ram tobacco udhyog pvt ltd nepal-bhola gold.png,RECODING,5,3,99762263,78.95780944824219,124,SHREE RAM TOBACCO UDHYOG,BOLA GOLD,BOLA GOLD,2.3G GUTKA,PLAST,2.3G,REGULAR,,2.3,,0.0
2022-08-22,202208,122528029,1660892712173,99764045,122,GRIHA LAXMI SABUN UDHYOG-NPL,GRIHA LAXMI DETERGENT POWER,GRIHA LAXMI DETERGENT POWER\1000\GM,100,PPH,1000GM,New SKU,1660892712173-griha laxmi sabun udhyog-npl-griha laxmi detergent power.png,RECODING,5,1,99764045,29.037006378173828,122,GRIHA LAXMI SABUN UDHYOG-NPL,GRIHA LAXMI,GRIHA LAXMI,GRIHA LAXMI-DETERGENT POWDER PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,100.0
2022-08-22,202208,122528029,1660892712173,99764045,122,GRIHA LAXMI SABUN UDHYOG-NPL,GRIHA LAXMI DETERGENT POWER,GRIHA LAXMI DETERGENT POWER\1000\GM,100,PPH,1000GM,New SKU,1660892712173-griha laxmi sabun udhyog-npl-griha laxmi detergent power.png,RECODING,5,2,99763682,36.21295928955078,122,GRIHA LAXMI SABUN UDHYOG-NPL,GRIHA LAXMI,GRIHA LAXMI,GRIHA LAXMI-DETERGENT POWDER PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,45.0
2022-08-22,202208,122528029,1660892712173,99764045,122,GRIHA LAXMI SABUN UDHYOG-NPL,GRIHA LAXMI DETERGENT POWER,GRIHA LAXMI DETERGENT POWER\1000\GM,100,PPH,1000GM,New SKU,1660892712173-griha laxmi sabun udhyog-npl-griha laxmi detergent power.png,RECODING,5,3,99764098,122.08517456054688,122,LAXMI SABUN UDHYOG-NEPAL,ULTRA WASH,ULTRA WASH,ULTRA WASH-DETERGENT POWDER PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,70.0
