t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2023-01-16,202301,1,123262051,21301010069,1673588942425,99764746,106,LOTTE INDIA-INDIA,LOTTE JUICIES CENTER FILLED CANDY,LOTTE JUICIES CENTER FILLED CANDY\800\GM,500,PET,800 GM,New SKU,1673588942425-lotte india-india-lotte juicies center filled candy#3.png,RECODING,5,1,99763332,121.10672760009766,106,LOTTE INDIA-INDIA,LOTTE,LOTTE JUICIES,LOTTE JUICIES-ORANGE PPH 4.5 GM,PLPCH,4.500 GM,ORANGE,,4.5,GM,2.0
0,2023-01-16,202301,1,123262051,21301010069,1673588942425,99764746,106,LOTTE INDIA-INDIA,LOTTE JUICIES CENTER FILLED CANDY,LOTTE JUICIES CENTER FILLED CANDY\800\GM,500,PET,800 GM,New SKU,1673588942425-lotte india-india-lotte juicies center filled candy#3.png,RECODING,5,2,46085,121.88751983642578,106,LOTTE INDIA-INDIA,LOTTE,LOTTE CAN CAN,LOTTE CAN CAN-SUMMER CANDY JAMUN KALA KATHA PPH 3.7 GM,PLPCH,3.700 GM,JAMUN,,3.7,GM,0.0
0,2023-01-16,202301,1,123262051,21301010069,1673588942425,99764746,106,LOTTE INDIA-INDIA,LOTTE JUICIES CENTER FILLED CANDY,LOTTE JUICIES CENTER FILLED CANDY\800\GM,500,PET,800 GM,New SKU,1673588942425-lotte india-india-lotte juicies center filled candy#3.png,RECODING,5,3,45946,123.97891235351562,106,LOTTE INDIA-INDIA,LOTTE,LOTTE CAN CAN,LOTTE CAN CAN-SUMMER CANDY AAMPANNA PPH 3.7 GM,PLPCH,3.700 GM,MANGO,,3.7,GM,0.0
1,2023-01-16,202301,1,125959303,52202010022,1673585259769,99764747,106,DURGA CONFECTIONERY-INDIA,MONARKO DOUBLE CREAM ,MONARKO DOUBLE CREAM/REAL BUTTERY ROYAL CANDY/420GM/PPH,128,PPH,420GM ,,1673585259769-durga confectionery-india-monarko double cream #3.png,RECODING,5,1,99764747,18.76522445678711,106,DURGA CONFECTIONERY-INDIA,MONARKO,MONARKO DOUBLE CREAM,MONARKO DOUBLE CREAM-ROYAL CANDY PPH 420 GM,PLPCH,420.000 GM,BUTTER,,420.0,GM,128.0
1,2023-01-16,202301,1,125959303,52202010022,1673585259769,99764747,106,DURGA CONFECTIONERY-INDIA,MONARKO DOUBLE CREAM ,MONARKO DOUBLE CREAM/REAL BUTTERY ROYAL CANDY/420GM/PPH,128,PPH,420GM ,,1673585259769-durga confectionery-india-monarko double cream #3.png,RECODING,5,2,46090,23.586904525756836,106,DURGA CONFECTIONERY-INDIA,MONARKO,MONARKO,MONARKO- DOUBLE CREAM ROYAL CANDY PPH 3.33GM,PLPCH,3.330 GM,CREAM,,3.33,GM,0.0
1,2023-01-16,202301,1,125959303,52202010022,1673585259769,99764747,106,DURGA CONFECTIONERY-INDIA,MONARKO DOUBLE CREAM ,MONARKO DOUBLE CREAM/REAL BUTTERY ROYAL CANDY/420GM/PPH,128,PPH,420GM ,,1673585259769-durga confectionery-india-monarko double cream #3.png,RECODING,5,3,49612,30.422042846679688,106,DURGA CONFECTIONERY-INDIA,MONARKO,MONARKO,MONARKO-DOUBLE CREAM ROYAL CANDY PPH 2.8 GM,PLPCH,2.800 GM,CREAM,,2.8,GM,0.0
2,2023-01-16,202301,1,123943065,21209010070,1673505409832,99764748,123,K.C.SOAP&CHEMICAL IND.PVT.LTD,4X,4X SOAP/LANDRY SOAP/200G/PPH,45,PPH,200G,,1673505409832-k-c-soap-chemical ind-pvt-ltd-4x#3.png,RECODING,5,1,99764748,105.48534393310547,123,K.C. SOAP & CHEMICAL IND.-NEPAL,4X SOAP,4X SOAP,4X SOAP-LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,45.0
2,2023-01-16,202301,1,123943065,21209010070,1673505409832,99764748,123,K.C.SOAP&CHEMICAL IND.PVT.LTD,4X,4X SOAP/LANDRY SOAP/200G/PPH,45,PPH,200G,,1673505409832-k-c-soap-chemical ind-pvt-ltd-4x#3.png,RECODING,5,2,99764452,144.94976806640625,123,KWALITY CHEM PVT LTD-NEPAL,DHAMAL,DHAMAL,DHAMAL-LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,45.0
2,2023-01-16,202301,1,123943065,21209010070,1673505409832,99764748,123,K.C.SOAP&CHEMICAL IND.PVT.LTD,4X,4X SOAP/LANDRY SOAP/200G/PPH,45,PPH,200G,,1673505409832-k-c-soap-chemical ind-pvt-ltd-4x#3.png,RECODING,5,3,99763955,151.9625244140625,123,KWALITY CHEM PVT LTD-NEPAL,PUREX,PUREX,PUREX-LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,40.0
3,2023-01-16,202301,1,123943065,21209010070,1673505712863,99764749,123,GOLDEN STAR SOAP IND-NEPAL,NIMA HERBAL,NIMA HERBAL/DISHWASH BAR/75+5GM/PPH,10,PPH,75+5GM,,1673505712863-golden star soap ind-nepal-nima herbal#3.png,RECODING,5,1,99764749,10.300664901733398,123,GOLDEN STAR SOAP IND-NEPAL,NIMA,NIMA HERBAL,NIMA HERBAL-DISHWASH BAR PPH 75 GM,PLPCH,75.000 GM,,,75.0,GM,10.0
3,2023-01-16,202301,1,123943065,21209010070,1673505712863,99764749,123,GOLDEN STAR SOAP IND-NEPAL,NIMA HERBAL,NIMA HERBAL/DISHWASH BAR/75+5GM/PPH,10,PPH,75+5GM,,1673505712863-golden star soap ind-nepal-nima herbal#3.png,RECODING,5,2,99763450,13.463323593139648,123,GOLDEN STAR SOAP IND-NEPAL,NIMA,NIMA HERBAL,NIMA HERBAL-DISHWASH BAR PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0
3,2023-01-16,202301,1,123943065,21209010070,1673505712863,99764749,123,GOLDEN STAR SOAP IND-NEPAL,NIMA HERBAL,NIMA HERBAL/DISHWASH BAR/75+5GM/PPH,10,PPH,75+5GM,,1673505712863-golden star soap ind-nepal-nima herbal#3.png,RECODING,5,3,99764096,52.58708190917969,123,GOLDEN STAR SOAP IND-NEPAL,UNIK,UNIK HERBAL,UNIK HERBAL-DISHWASH BAR PPH 95 GM,PLPCH,95.000 GM,,,95.0,GM,10.0
4,2023-01-17,202301,1,124768422,21301010058,1673851496765,99764750,106,CANDY LAKE NUTRITIONS PVT LTD-IN,CANDY LAKE MILKIEZ 2 JN 1 CANDY,CANDY LAKE MILKIEZ 2 ON 1 CANDY\680\GM,250,PCN,680 GM,New SKU,1673851496765-candy lake nutritions pvt ltd-in-candy lake milkiez 2 jn 1 candy#3.png,RECODING,5,1,99764750,16.998031616210938,106,CANDY LAKE NUTRITIONS PVT LTD-IN,CANDY LAKE,CANDY LAKE MILKIEZ,CANDY LAKE MILKIEZ- 2 IN 1 PCN 680 GM,PLJAR,680.000 GM,MILK,,680.0,GM,250.0
4,2023-01-17,202301,1,124768422,21301010058,1673851496765,99764750,106,CANDY LAKE NUTRITIONS PVT LTD-IN,CANDY LAKE MILKIEZ 2 JN 1 CANDY,CANDY LAKE MILKIEZ 2 ON 1 CANDY\680\GM,250,PCN,680 GM,New SKU,1673851496765-candy lake nutritions pvt ltd-in-candy lake milkiez 2 jn 1 candy#3.png,RECODING,5,2,99764564,20.986915588378906,106,CANDY LAKE NUTRITIONS PVT LTD-IN,CANDY LAKE,CANDY LAKE MILKIEZ,CANDY LAKE MILKIEZ- 2 IN 1 PCN 640 GM,PLJAR,640.000 GM,MILK,,640.0,GM,260.0
4,2023-01-17,202301,1,124768422,21301010058,1673851496765,99764750,106,CANDY LAKE NUTRITIONS PVT LTD-IN,CANDY LAKE MILKIEZ 2 JN 1 CANDY,CANDY LAKE MILKIEZ 2 ON 1 CANDY\680\GM,250,PCN,680 GM,New SKU,1673851496765-candy lake nutritions pvt ltd-in-candy lake milkiez 2 jn 1 candy#3.png,RECODING,5,3,99763301,77.85079956054688,106,CANDY LAKE NUTRITIONS PVT LTD-IN,CANDY LAKE,CANDY LAKE,CANDY LAKE-ELAICHI SHRIKHANDA PPH 4.25 GM,PLPCH,4.250 GM,ELAICHI,,4.25,GM,2.0
5,2023-01-17,202301,1,124768422,21301010058,1673852546311,99764751,123,MAHASHAKTI SOAP & CHEM.- NEPAL,LION DETERGENT CAKE,LION DETERGENT CAKE \75\GM,10,PPH,75 GM,New SKU,1673852546311-mahashakti soap - chem-- nepal-lion detergent cake#3.png,RECODING,5,1,99764751,29.48379135131836,123,MAHASHAKTI SOAP & CHEM.- NEPAL,LION,LION,LION-DETERGENT CAKE NEEM&LEMON PPH 75 GM,PLPCH,75.000 GM,,,75.0,GM,10.0
5,2023-01-17,202301,1,124768422,21301010058,1673852546311,99764751,123,MAHASHAKTI SOAP & CHEM.- NEPAL,LION DETERGENT CAKE,LION DETERGENT CAKE \75\GM,10,PPH,75 GM,New SKU,1673852546311-mahashakti soap - chem-- nepal-lion detergent cake#3.png,RECODING,5,2,50942,54.8248291015625,123,MAHASHAKTI SOAP & CHEM.- NEPAL,PUJA,PUJA,PUJA-DETERGENT CAKE PPH 90 GM,PLPCH,90.000 GM,,,90.0,GM,0.0
5,2023-01-17,202301,1,124768422,21301010058,1673852546311,99764751,123,MAHASHAKTI SOAP & CHEM.- NEPAL,LION DETERGENT CAKE,LION DETERGENT CAKE \75\GM,10,PPH,75 GM,New SKU,1673852546311-mahashakti soap - chem-- nepal-lion detergent cake#3.png,RECODING,5,3,49237,55.211700439453125,123,MAHASHAKTI SOAP & CHEM.- NEPAL,PUJA,PUJA,PUJA-DETERGENT CAKE PPH 95 GM,PLPCH,95.000 GM,,,95.0,GM,0.0
6,2023-01-17,202301,1,126759332,52202010014,1673850722327,99764584,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/CHATPATA MAZZA/335GM/PPH,100,PPH,335GM,,1673850722327-sujal foods pvt ltd-nepal-rasilo candy#3.png,CROSS CODING,2,1,99764584,21.378292083740234,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PPH 335 GM,PLPCH,335.000 GM,UNSPECIFIED,,335.0,GM,100.0
6,2023-01-17,202301,1,126759332,52202010014,1673850722327,99764584,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/CHATPATA MAZZA/335GM/PPH,100,PPH,335GM,,1673850722327-sujal foods pvt ltd-nepal-rasilo candy#3.png,CROSS CODING,2,2,99764700,24.306690216064453,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PPH 336 GM,PLPCH,336.000 GM,UNSPECIFIED,,336.0,GM,80.0
6,2023-01-17,202301,1,126759332,52202010014,1673850722327,99764584,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/CHATPATA MAZZA/335GM/PPH,100,PPH,335GM,,1673850722327-sujal foods pvt ltd-nepal-rasilo candy#3.png,CROSS CODING,2,3,91826096,27.376602172851562,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PPH 3.2 GM,PLPCH,3.200 GM,UNSPECIFIED,,3.2,GM,0.0
7,2023-01-17,202301,1,126759332,52202010014,1673850942526,99764752,106,SUJAL FOODS PVT LTD-NEPAL,WHITE BIRDS,WHITEBIRDS/SOFT MILKY CANDY/280GM/PPH,85,PPH,280GM,,1673850942526-sujal foods pvt ltd-nepal-white birds#3.png,RECODING,5,1,99764752,30.30004119873047,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL WHITE BIRDS,SUJAL WHITE BIRDS- SOFT MILKY CANDY PPH 280 GM,PLPCH,280.000 GM,MILK,,280.0,GM,165.0
7,2023-01-17,202301,1,126759332,52202010014,1673850942526,99764752,106,SUJAL FOODS PVT LTD-NEPAL,WHITE BIRDS,WHITEBIRDS/SOFT MILKY CANDY/280GM/PPH,85,PPH,280GM,,1673850942526-sujal foods pvt ltd-nepal-white birds#3.png,RECODING,5,2,99764652,33.694000244140625,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL WHITE BIRDS,SUJAL WHITE BIRDS- SOFT MILKY CANDY PCN 560 GM,PLJAR,560.000 GM,MILK,,560.0,GM,165.0
7,2023-01-17,202301,1,126759332,52202010014,1673850942526,99764752,106,SUJAL FOODS PVT LTD-NEPAL,WHITE BIRDS,WHITEBIRDS/SOFT MILKY CANDY/280GM/PPH,85,PPH,280GM,,1673850942526-sujal foods pvt ltd-nepal-white birds#3.png,RECODING,5,3,99764916,37.2669563293457,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL WHITE BIRDS,SUJAL WHITE BIRDS- SOFT MILKY CANDY PCN 1680 GM,PLJAR,1680.000 GM,MILK,,1680.0,GM,530.0
8,2023-01-17,202301,3,2110200003,21102030196,1673855455717,99764753,126,IPA GUTKHA UDHYOG-NEPAL,R-R,R-R NIWAS/PAN MASALA/IPA GUTKHA UDHYOG/NEPAL/PPH/3.5GM,13,PPH,3.5GM,,1673855455717-ipa gutkha udhyog-r-r#3.png,RECODING,5,1,99764753,18.421987533569336,126,IPA GUTKHA UDHYOG-NEPAL,R-R NIWAS,R-R NIWAS PAN MASALA,3.5G PAAN MASALA,PLAST,3.5G,REGULAR,,3.5,GM,13.0
8,2023-01-17,202301,3,2110200003,21102030196,1673855455717,99764753,126,IPA GUTKHA UDHYOG-NEPAL,R-R,R-R NIWAS/PAN MASALA/IPA GUTKHA UDHYOG/NEPAL/PPH/3.5GM,13,PPH,3.5GM,,1673855455717-ipa gutkha udhyog-r-r#3.png,RECODING,5,2,99764522,177.65548706054688,126,DHARMAPAL SATYAPAL LTD-INDIA,MASTABA,MASTABA,2.4G PAAN MASALA,PLAST,2.4G,REGULAR,,2.4,GM,15.2
8,2023-01-17,202301,3,2110200003,21102030196,1673855455717,99764753,126,IPA GUTKHA UDHYOG-NEPAL,R-R,R-R NIWAS/PAN MASALA/IPA GUTKHA UDHYOG/NEPAL/PPH/3.5GM,13,PPH,3.5GM,,1673855455717-ipa gutkha udhyog-r-r#3.png,RECODING,5,3,99762302,187.65670776367188,126,DHARMAPAL SATYAPAL LTD-INDIA,RAJNIGANDHA,RAJNIGANDHA,17G PAAN MASALA,PLAST,17G,REGULAR,,17.0,,0.0
9,2023-01-18,202301,3,2110115978,21101031941,1673852228198,99764766,126,DHARMAPAL SATYAPAL LTD-INDIA,PASSPASS,PASSPASS\PAAN MASALA\DHARAMPAL SATYAPAL FOODS LTD\11 GM\PPH,15,PPH,11GM,Invoices not available,1673852228198-dharmapal satyapal ltd-india-passpass#3.png,RECODING,5,1,99764766,33.953880310058594,126,DHARMAPAL SATYAPAL LTD-INDIA,PASSPASS,PASSPASS,11G PAAN MASALA,PLAST,11G,SWEET,,11.0,GM,15.0
9,2023-01-18,202301,3,2110115978,21101031941,1673852228198,99764766,126,DHARMAPAL SATYAPAL LTD-INDIA,PASSPASS,PASSPASS\PAAN MASALA\DHARAMPAL SATYAPAL FOODS LTD\11 GM\PPH,15,PPH,11GM,Invoices not available,1673852228198-dharmapal satyapal ltd-india-passpass#3.png,RECODING,5,2,99762331,43.235321044921875,126,DHARMAPAL SATYAPAL LTD-INDIA,PASSPASS,PASSPASS,2.20G PAAN MASALA,PLAST,2.20G,SWEET,,2.2,,0.0
9,2023-01-18,202301,3,2110115978,21101031941,1673852228198,99764766,126,DHARMAPAL SATYAPAL LTD-INDIA,PASSPASS,PASSPASS\PAAN MASALA\DHARAMPAL SATYAPAL FOODS LTD\11 GM\PPH,15,PPH,11GM,Invoices not available,1673852228198-dharmapal satyapal ltd-india-passpass#3.png,RECODING,5,3,99765396,50.47902297973633,126,DHARMAPAL SATYAPAL LTD-INDIA,PASSPASS,PASSPASS FRESH MINT,9.5G PAAN MASALA,PLAST,9.5G,MINT,,9.5,GM,8.0
10,2023-01-18,202301,1,125623216,21301010053,1673946228026,99764754,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL FRUIT CANDY,SUJAL FRUIT CANDY\680\GM,200,PCN,680 GM,New SKU,1673946228026-sujal foods pvt ltd-nepal-sujal fruit candy#3.png,RECODING,5,1,99764754,19.87560272216797,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL FRUIT CANDY,SUJAL FRUIT CANDY-ASSORTED PCN 680 GM,PLJAR,680.000 GM,ASSORTED,,680.0,GM,200.0
10,2023-01-18,202301,1,125623216,21301010053,1673946228026,99764754,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL FRUIT CANDY,SUJAL FRUIT CANDY\680\GM,200,PCN,680 GM,New SKU,1673946228026-sujal foods pvt ltd-nepal-sujal fruit candy#3.png,RECODING,5,2,99764508,25.362411499023438,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL FRUIT CANDY,SUJAL FRUIT CANDY-ASSORTED PCN 700 GM,PLJAR,700.000 GM,ASSORTED,,700.0,GM,165.0
10,2023-01-18,202301,1,125623216,21301010053,1673946228026,99764754,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL FRUIT CANDY,SUJAL FRUIT CANDY\680\GM,200,PCN,680 GM,New SKU,1673946228026-sujal foods pvt ltd-nepal-sujal fruit candy#3.png,RECODING,5,3,99764649,30.84473419189453,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL FRUIT CANDY,SUJAL FRUIT CANDY-ASSORTED PPH 340 GM,PLPCH,340.000 GM,ASSORTED,,340.0,GM,80.0
11,2023-01-18,202301,1,123582683,21301010054,1673934057939,99764770,132,UNICHARM INDIA LTD-INDIA,MAMYPOKO PANTS EXTRA ABORS XL,MAMYPOKO PANTS EXTRA ABSORB XL \42\PC,999,PPH,42 PCC,New SKU,1673934057939-unicharm india ltd-india-mamypoko pants extra abors xl#3.png,RECODING,5,1,99764770,19.637624740600586,132,UNICHARM INDIA LTD-INDIA,MAMYPOKO PANTS,MAMYPOKO PANTS,MAMYPOKO PANTS-EXTRA ABSORB-EXTRA LARGE(XL) PPH 42 NOS,PLPCH,42.000 NO,,,42.0,NO,1400.0
11,2023-01-18,202301,1,123582683,21301010054,1673934057939,99764770,132,UNICHARM INDIA LTD-INDIA,MAMYPOKO PANTS EXTRA ABORS XL,MAMYPOKO PANTS EXTRA ABSORB XL \42\PC,999,PPH,42 PCC,New SKU,1673934057939-unicharm india ltd-india-mamypoko pants extra abors xl#3.png,RECODING,5,2,99762579,21.717464447021484,132,UNICHARM INDIA LTD-INDIA,MAMYPOKO PANTS,MAMYPOKO PANTS,MAMYPOKO PANTS-EXTRA ABSORB-EXTRA LARGE(XL) PPH 36 NOS,PLPCH,36.000 NO,,,36.0,NO,1120.0
11,2023-01-18,202301,1,123582683,21301010054,1673934057939,99764770,132,UNICHARM INDIA LTD-INDIA,MAMYPOKO PANTS EXTRA ABORS XL,MAMYPOKO PANTS EXTRA ABSORB XL \42\PC,999,PPH,42 PCC,New SKU,1673934057939-unicharm india ltd-india-mamypoko pants extra abors xl#3.png,RECODING,5,3,99762694,21.94989776611328,132,UNICHARM INDIA LTD-INDIA,MAMYPOKO PANTS,MAMYPOKO PANTS,MAMYPOKO PANTS-EXTRA ABSORB-EXTRA LARGE(XL) PPH 26 NOS,PLPCH,26.000 NO,,,26.0,NO,640.0
12,2023-01-18,202301,1,123582683,21301010054,1673939774607,99764763,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI XTRAA LAUNDRY SOAP,DHONI XTRAA LAUNDRY SOAP\1000\GM,220,PPH,1000 GM,New SKU,1673939774607-himgiri soap - chemicals-nepal-dhoni xtraa laundry soap#3.png,RECODING,5,1,54377,12.257221221923828,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-XTRAA LAUNDRY SOAP PPH 210 GM,PLPCH,210.000 GM,,,210.0,GM,0.0
12,2023-01-18,202301,1,123582683,21301010054,1673939774607,99764763,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI XTRAA LAUNDRY SOAP,DHONI XTRAA LAUNDRY SOAP\1000\GM,220,PPH,1000 GM,New SKU,1673939774607-himgiri soap - chemicals-nepal-dhoni xtraa laundry soap#3.png,RECODING,5,2,51127,12.995378494262695,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-XTRAA LAUNDRY SOAP PPH 105 GM,PLPCH,105.000 GM,,,105.0,GM,0.0
12,2023-01-18,202301,1,123582683,21301010054,1673939774607,99764763,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI XTRAA LAUNDRY SOAP,DHONI XTRAA LAUNDRY SOAP\1000\GM,220,PPH,1000 GM,New SKU,1673939774607-himgiri soap - chemicals-nepal-dhoni xtraa laundry soap#3.png,RECODING,5,3,50548,12.99906063079834,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-XTRAA LAUNDRY SOAP PPH 6*200 GM,PLPCH,200.000 GM,,,1200.0,GM,0.0
13,2023-01-18,202301,1,123582683,21301010054,1673933169689,99764759,122,PROCTER & GAMBLE - INDIA,ARIEL MATIC FRONT LOAD,ARIEL MATIC FRONT LOAD CBP\3000\GM,4000,CBP,3000 GM,New SKU,1673933169689-procter - gamble - india-ariel matic front load#3.png,RECODING,5,1,99763518,31.115676879882812,122,PROCTER & GAMBLE - INDIA,ARIEL,ARIEL MATIC,ARIEL MATIC-FRONT LOAD-CBP 1000 GM,CDBOX,1000.000 GM,,,1000.0,GM,400.0
13,2023-01-18,202301,1,123582683,21301010054,1673933169689,99764759,122,PROCTER & GAMBLE - INDIA,ARIEL MATIC FRONT LOAD,ARIEL MATIC FRONT LOAD CBP\3000\GM,4000,CBP,3000 GM,New SKU,1673933169689-procter - gamble - india-ariel matic front load#3.png,RECODING,5,2,54252,38.954315185546875,122,PROCTER & GAMBLE - INDIA,ARIEL,ARIEL MATIC,ARIEL MATIC-FRONT LOAD-PPH 1000 GM+RS96 OFF,PLPCH,1000.000 GM,,,1000.0,GM,0.0
13,2023-01-18,202301,1,123582683,21301010054,1673933169689,99764759,122,PROCTER & GAMBLE - INDIA,ARIEL MATIC FRONT LOAD,ARIEL MATIC FRONT LOAD CBP\3000\GM,4000,CBP,3000 GM,New SKU,1673933169689-procter - gamble - india-ariel matic front load#3.png,RECODING,5,3,99764759,39.61149597167969,122,PROCTER & GAMBLE - INDIA,ARIEL,ARIEL MATIC,ARIEL MATIC-FRONT LOAD PPH 3000 GM+FREE CONTAINER,PLPCH,3000.000 GM,,,3000.0,GM,1275.0
14,2023-01-18,202301,1,123582683,21301010054,1673932563187,99764542,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL MILK CHOCOLATE ECLAIRS,SUJAL MILK CHOCOLATE ECLAIRS\1740\GM,600,PCN,1740 GM,New SKU,1673932563187-sujal foods pvt ltd-nepal-sujal milk chocolate eclairs#3.png,CROSS CODING,2,1,99764542,14.321014404296875,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL ECLAIRS,SUJAL ECLAIRS- MILK CHOCOLATE PCN 1740 GM,PLJAR,1740.000 GM,MILK CHOCOLATE,,1740.0,GM,500.0
14,2023-01-18,202301,1,123582683,21301010054,1673932563187,99764542,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL MILK CHOCOLATE ECLAIRS,SUJAL MILK CHOCOLATE ECLAIRS\1740\GM,600,PCN,1740 GM,New SKU,1673932563187-sujal foods pvt ltd-nepal-sujal milk chocolate eclairs#3.png,CROSS CODING,2,2,99764826,20.504615783691406,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL ECLAIRS,SUJAL ECLAIRS- MILK CHOCOLATE PCN 1650 GM,PLJAR,1650.000 GM,MILK CHOCOLATE,,1650.0,GM,600.0
14,2023-01-18,202301,1,123582683,21301010054,1673932563187,99764542,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL MILK CHOCOLATE ECLAIRS,SUJAL MILK CHOCOLATE ECLAIRS\1740\GM,600,PCN,1740 GM,New SKU,1673932563187-sujal foods pvt ltd-nepal-sujal milk chocolate eclairs#3.png,CROSS CODING,2,3,99764540,21.392349243164062,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL,SUJAL ECLAIRS,SUJAL ECLAIRS- MILK CHOCOLATE PCN 550 GM,PLJAR,550.000 GM,MILK CHOCOLATE,,550.0,GM,170.0
15,2023-01-18,202301,1,123582683,21301010054,1673933364032,99764760,122,JYOTHY LABORATORIES LTD-INDIA,HENKO MATIC,HENKO MATIC \2000\GM,588,CBP,2000GM,New SKU,1673933364032-jyothy laboratories ltd-india-henko matic#3.png,RECODING,5,1,51390,34.021751403808594,122,JYOTHY LABORATORIES LTD-INDIA,HENKO,HENKO MATIC,HENKO MATIC-CBP 1000 GM+FR 500 GM,CDBOX,1000.000 GM,,,1500.0,GM,0.0
15,2023-01-18,202301,1,123582683,21301010054,1673933364032,99764760,122,JYOTHY LABORATORIES LTD-INDIA,HENKO MATIC,HENKO MATIC \2000\GM,588,CBP,2000GM,New SKU,1673933364032-jyothy laboratories ltd-india-henko matic#3.png,RECODING,5,2,99764860,57.202003479003906,122,JYOTHY LABORATORIES LTD-INDIA,HENKO,HENKO MATIC,HENKO MATIC-FRONT LOAD CBP 1000 GM+RS 56 OFF,CDBOX,1000.000 GM,,,1000.0,GM,496.0
15,2023-01-18,202301,1,123582683,21301010054,1673933364032,99764760,122,JYOTHY LABORATORIES LTD-INDIA,HENKO MATIC,HENKO MATIC \2000\GM,588,CBP,2000GM,New SKU,1673933364032-jyothy laboratories ltd-india-henko matic#3.png,RECODING,5,3,99764760,58.150123596191406,122,JYOTHY LABORATORIES LTD-INDIA,HENKO,HENKO MATIC,HENKO MATIC-FRONT LOAD CBP 2000 GM+RS 120 OFF,CDBOX,2000.000 GM,,,2000.0,GM,940.0
16,2023-01-18,202301,1,123582683,21301010054,1673934356767,99764761,122,HINDUSTAN UNILEVER LTD-INDIA,SURF EXCEL MATIC ,SURF EXCEL MATIC CBP\6000\GM,2350,CBP,6000 GM,New SKU,1673934356767-hindustan unilever ltd-india-surf excel matic #3.png,RECODING,5,1,99764761,44.53651809692383,122,HINDUSTAN UNILEVER LTD-INDIA,SURF,SURF EXCEL MATIC,SURF EXCEL MATIC-FRONT LOAD CBP 6000 GM,CDBOX,6000.000 GM,,,6000.0,GM,2350.0
16,2023-01-18,202301,1,123582683,21301010054,1673934356767,99764761,122,HINDUSTAN UNILEVER LTD-INDIA,SURF EXCEL MATIC ,SURF EXCEL MATIC CBP\6000\GM,2350,CBP,6000 GM,New SKU,1673934356767-hindustan unilever ltd-india-surf excel matic #3.png,RECODING,5,2,99762942,63.31498336791992,122,HINDUSTAN UNILEVER LTD-INDIA,SURF,SURF EXCEL,SURF EXCEL-EASY WASH PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,100.0
