t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,1,52568,72.58878326416016,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO TPK 160 ML,TPK,160.000 ML,MANGO,,160.0,ML,0.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,2,51769,80.39282989501953,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO TPK 65 ML,TPK,65.000 ML,MANGO,,65.0,ML,0.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,3,99763711,90.96668243408203,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO PET 300 ML,PET,300.000 ML,MANGO,,300.0,ML,32.0
1,2023-03-10,202303,2,113200967,21101020334,1678342726599,99764704,134,PARLE AGRO PVT LTD-INDIA,APPY,APPY\SOFT DRINKS\PARLE AGRO\200ML\TPK,30,TPK,200ML,New SKU,1678342726599-parle agro pvt ltd-india-appy#3.png,CROSS CODING,2,1,99764819,117.29142761230469,118,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 160 ML,PET,160.000 ML,APPLE,,160.0,ML,30.0
1,2023-03-10,202303,2,113200967,21101020334,1678342726599,99764704,134,PARLE AGRO PVT LTD-INDIA,APPY,APPY\SOFT DRINKS\PARLE AGRO\200ML\TPK,30,TPK,200ML,New SKU,1678342726599-parle agro pvt ltd-india-appy#3.png,CROSS CODING,2,2,99765079,118.1495590209961,118,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,40.0
1,2023-03-10,202303,2,113200967,21101020334,1678342726599,99764704,134,PARLE AGRO PVT LTD-INDIA,APPY,APPY\SOFT DRINKS\PARLE AGRO\200ML\TPK,30,TPK,200ML,New SKU,1678342726599-parle agro pvt ltd-india-appy#3.png,CROSS CODING,2,3,99764936,119.45486450195312,118,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 125 ML,PET,125.000 ML,APPLE,,125.0,ML,20.0
2,2023-03-10,202303,2,131076027,22101020027,1678343905076,99764932,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,1,99764932,80.69093322753906,118,PRAGATI CHEMICAL-INDIA,KEMPTY,KEMPTY LITCHI,LITCHI PET 150 ML+20 ML FREE,PET,150.000 ML,LYCHEE,,170.0,ML,16.0
2,2023-03-10,202303,2,131076027,22101020027,1678343905076,99764932,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,2,99765302,107.26734161376953,118,PRAGATI CHEMICAL-INDIA,MZP'S,MZP'S LITCHI,LITCHI PET 150 ML+20 ML FREE,PET,150.000 ML,LYCHEE,,170.0,ML,20.0
2,2023-03-10,202303,2,131076027,22101020027,1678343905076,99764932,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,3,46692,142.5063018798828,118,PRAGATI CHEMICAL-INDIA,KEMPTY,KEMPTY MANGO PUNCH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
3,2023-03-10,202303,2,112116438,21102020060,1678349808023,99764931,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-MANGO/PBT/320ML/SINGAPORE BEVERAGES NEPAL PVT.LTD,140,PBT,320ML,,1678349808023-singapore beverage-nepal-fruit gems#3.png,RECODING,5,1,99764931,46.090049743652344,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,MANGO PET 320 ML,PET,320.000 ML,MANGO,,320.0,ML,140.0
